SMILES,Valid,HBD,HBA,ConjSystems,AroSystems,ChargedAtoms,TotalFormalCharge,Halogens,RotBonds,RingCount,AroRingCount,HeteroAtoms,HeavyAtoms,FracCsp3,TPSA,cLogP,MolWt,ExactMass,ChiralCenters
CCN1C=C(C(C(=O)O)=C1C)C=2C=CC=CC2,True,1,2,1,2,0,0,0,3,2,2,3,17,0.21428571428571427,42.230000000000004,3.1816200000000014,229.279,229.11027872,0
CC1=CN(N=C1C(=O)O)C=2C(F)=CC=CC2F,True,1,3,1,2,0,0,2,2,2,2,6,17,0.09090909090909091,55.120000000000005,2.15712,238.19299999999998,238.055383936,0
O=C(O)CC1CCCC=2C=3C=CC=CC3NC21,True,2,1,2,1,0,0,0,2,3,2,3,17,0.35714285714285715,53.089999999999996,3.062500000000001,229.27900000000002,229.11027872,1
O=C(O)CN1C(=NC=2C=CC=CC21)C3=CSC=N3,True,1,5,2,2,0,0,0,3,3,3,6,18,0.08333333333333333,68.00999999999999,2.2443999999999997,259.29,259.041547528,0
O=C(O)C1CCN(CC1)C2=NC=3C=CC=CC3O2,True,1,4,2,1,0,0,0,2,3,2,5,18,0.38461538461538464,66.57,2.1288,246.26600000000002,246.100442308,0
O=C(O)C1CCN(CC1)C(=O)NC=2C=CC=CC2,True,2,2,2,1,0,0,0,2,2,1,5,18,0.38461538461538464,69.64,2.0150999999999994,248.28200000000004,248.116092372,0
O=C(O)C=1C=CC(=CC1)S(=O)(=O)N2CCCCC2,True,1,3,1,1,0,0,0,3,2,1,6,18,0.4166666666666667,74.67999999999999,1.5594000000000001,269.32199999999995,269.07217896000003,0
CC=1C=CC=C(C(=O)O)C1NC(=O)C2=CC=CO2,True,2,3,1,2,0,0,0,3,2,2,5,18,0.07692307692307693,79.54,2.538520000000001,245.234,245.068807832,0
CC1=NN(C)C=2N=C(C)C(CCC(=O)O)=C(C)C12,True,1,4,2,1,0,0,0,3,2,2,5,18,0.46153846153846156,68.01,1.9107599999999998,247.29799999999994,247.132076784,0
O=C(O)C1CSC(CC2=CC=CC=C2F)C(=O)N1,True,2,3,3,1,0,0,1,3,2,1,6,18,0.3333333333333333,66.39999999999999,1.053,269.29699999999997,269.05219246400003,2
